Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,22/08/2020,Gorodeya,Ruh Brest,a2U6F000002L7xaUAC,a2U6F000002L7xGUAS,Belarus,1,3,4,-2,0,2,2,-2,1,1,2,0
,,,,,,,,,,,22/08/2020,BGU Minsk,Smolevichi,a2U6F000002L7xEUAS,a2U6F000002L7xCUAS,Belarus,4,1,5,3,2,0,2,2,2,1,3,1
,,,,,,,,,,,23/05/2020,Vitebsk,Dinamo Minsk,a2U6F000002L7xQUAS,a2U6F000002L7xMUAS,Belarus,1,1,2,0,1,1,2,0,0,0,0,0
,,,,,,,,,,,23/05/2020,Isloch,BGU Minsk,a2U6F000002L7xbUAC,a2U6F000002L7xEUAS,Belarus,1,2,3,-1,1,1,2,0,0,1,1,-1
,,,,,,,,,,,23/05/2020,Slutsk,Ruh Brest,a2U6F000002L7xLUAS,a2U6F000002L7xGUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,23/08/2020,Neman,Bate Borisov,a2U6F000002L7xYUAS,a2U6F000002L7xFUAS,Belarus,0,2,2,-2,0,1,1,-1,0,1,1,-1
,,,,,,,,,,,23/08/2020,Belaz Zhodino,Minsk,a2U6F000002L7xDUAS,a2U6F000002L7xBUAS,Belarus,1,1,2,0,1,0,1,1,0,1,1,-1
,,,,,,,,,,,23/08/2020,Slavia Mozyr,Vitebsk,a2U6F000002L7xRUAS,a2U6F000002L7xQUAS,Belarus,1,1,2,0,1,1,2,0,0,0,0,0
,,,,,,,,,,,23/09/2020,Smolevichi,Minsk,a2U6F000002L7xCUAS,a2U6F000002L7xBUAS,Belarus,0,4,4,-4,0,1,1,-1,0,3,3,-3
,,,,,,,,,,,24/04/2020,Neman,BGU Minsk,a2U6F000002L7xYUAS,a2U6F000002L7xEUAS,Belarus,3,0,3,3,0,0,0,0,3,0,3,3
,,,,,,,,,,,24/04/2020,Smolevichi,Dinamo Minsk,a2U6F000002L7xCUAS,a2U6F000002L7xMUAS,Belarus,1,3,4,-2,0,2,2,-2,1,1,2,0
